"CÓDIGO DE LA SERIE",DMSBYOSHSNAPNATTTTTTTTTTTSALDCV.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS12C.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS121.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS122.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS12R.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS12L.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS128.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS129.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS12O.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS11.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS1M.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS13.M,DMSBYOSHSNAPNATTTTTTTTTTTSALDCV_TS2.M
"NÚMERO SECUENCIAL",3815375,3243278,3243279,3243280,3243281,3243282,3243283,3243284,3245438,3243286,3243287,3243288,3243289
"ALIAS DE LA SERIE","BE_22_4.1","BE_22_4.2","BE_22_4.3","BE_22_4.4","BE_22_4.5","BE_22_4.6","BE_22_4.7","BE_22_4.8","BE_22_4.9","BE_22_4.10","BE_22_4.11","BE_22_4.12","BE_22_4.13"
"DESCRIPCIÓN DE LA SERIE","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Saldo en circulación. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. IFM excepto FMM. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Banco de España. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. OIFM excepto FMM. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. FMM y otros intermediarios financ. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. IIC. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Empresas de seguros. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Fondos de pensiones. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Resto de intermediarios financ. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Sociedades no financieras. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Hogares e ISFLSH. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. AAPP. Valor facial","Carteras de valores. Bonos y obligaciones no segregados y principales de deuda segregada. Cartera firme por tenedores. Resto del mundo. Valor facial"
"DESCRIPCIÓN DE LAS UNIDADES","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ENE 2016",743051345434.00,244149349195.00,74696370513.00,169452978682.00,128390854996.00,25933040848.00,82971972415.00,18881703008.00,604138725.00,2934612262.00,3238428645.00,39381784116.00,324956316220.00
"FEB 2016",750540428434.00,252385882418.00,79483370513.00,172902511905.00,129566932315.00,25605605167.00,84307066415.00,19021823008.00,632437725.00,3097846928.00,3316302919.00,41899409116.00,320274054738.00
"MAR 2016",763924068434.00,257412256617.00,84738370513.00,172673886104.00,129686980376.00,25929512194.00,84525084449.00,18597427008.00,634956725.00,2924468595.00,3178375679.00,41272558116.00,329449429051.00
"ABR 2016",749330141434.00,263815246617.00,91245870513.00,172569376104.00,130160176249.00,25652930067.00,85712591449.00,18136953008.00,657701725.00,2886578595.00,3161470679.00,36726297116.00,312580372178.00
"MAY 2016",759811398434.00,270893416728.00,99367303513.00,171526113215.00,130785157982.00,26014366800.00,86145186449.00,17942119008.00,683485725.00,2939800595.00,3278268679.00,36339860116.00,315574894334.00
